Game,Global,Rating1,Rating2,Rating3
Grand Theft Auto: San Andreas,20.81,95,9.6,9.8
Gran Turismo 3: A-Spec,14.98,95,9.8,9.5
Final Fantasy X,8.05,92,9.5,9.3
Need for Speed Underground,7.2,82,7.6,8.9
Kingdom Hearts,6.4,85,8.2,8.7
Crash Bandicoot: The Wrath of Cortex,5.42,66,6.9,7.4
Dragon Quest VIII: Journey of the Cursed King,5.21,85,8,8.8
Madden NFL 2004,5.23,94,9.1,9.5
The Lord of the Rings: The Two Towers,4.67,96,8.7,9
Spider-Man: The Movie,4.48,76,7.4,8.4
God of War,4.45,81,9,9.8
Tony Hawk's Pro Skater 3,4.41,97,9.5,9.7
Metal Gear Solid 3: Snake Eater,4.23,91,9.6,9.7
EyeToy Play,4.2,61,6.5,7.7
FIFA Soccer 07,4.11,73,7.9,8.4
Namco Museum: 50th Anniversary,3.98,60,5.9,5.6
Tekken 5,3.87,88,9,9.3
SOCOM: U.S. Navy SEALs,3.65,82,8.9,7.5
The Getaway,3.54,72,7.2,7
James Bond 007: Agent Under Fire,3.53,72,7.2,7.7
Ratchet & Clank,3.33,85,8.9,9
Dragon Ball Z: Budokai,3.09,67,8,6.2
Devil May Cry,2.99,94,8.5,9.6
Hitman 2: Silent Assassin,2.96,87,8.5,8.7
Dance Dance Revolution X2,2.23,82,8.1,8.6
WWE SmackDown! Shut Your Mouth,3.02,82,8.2,8.2
Jak II,2.78,87,9.5,9
The Sims: Bustin' Out,2.43,81,8.2,8
Crazy Taxi,2.52,80,8.5,9.6
Guitar Hero,2.38,80,7.6,7.9
SoulCalibur II,2.06,93,9.2,9
Sly 2: Band of Thieves,1.81,88,8.8,9.2
Def Jam: Fight for NY,1.76,83,8.5,8.7
Red Faction II,1.5,75,7,7.9
NFL Street,1.42,80,7.5,7.9
Transformers,1.29,80,7.5,7.7
Driv3r,1.23,57,5.5,5.4
Scarface: The World is Yours,1.19,73,7.6,7.5
Dead to Rights,1.36,67,7.5,8.1
Ace Combat 04: Shattered Skies,3.17,89,8.9,9.1
